QM Energy	FF Energy
     -0.00574405     -0.00577212
     -0.00108011      -0.0011068
     -0.00104925    -0.000926294
     -0.00289047     -0.00258576
     -0.00164529     -0.00160495
     -0.00577965     -0.00588935
     -0.00476226     -0.00441322
     -0.00216034     -0.00230241
     -0.00169813     -0.00177708
    -0.000706396    -0.000638283
     -0.00227604     -0.00227579
     -0.00109565     -0.00101315
      -0.0048406     -0.00517623
     -0.00100537     -0.00102628
     -0.00160272      -0.0016092
     -0.00360595     -0.00317972
     -0.00114362      -0.0011455
     -0.00429124      -0.0043517
     -0.00956288      -0.0101068
     -0.00182555     -0.00168989
     -0.00180499     -0.00161655
     -0.00462618     -0.00458358
     -0.00111004    -0.000972138
     -0.00647535     -0.00667531
       -0.002072     -0.00221933
     -0.00523858     -0.00510086
     -0.00243674     -0.00244189
     -0.00123373     -0.00131835
     -0.00584976     -0.00505691
     -0.00336724     -0.00349335
     -0.00289263     -0.00282035
     -0.00161187     -0.00155649
     -0.00335687     -0.00344123
     -0.00640618     -0.00663137
     -0.00725878     -0.00665132
    -0.000615404    -0.000575226
     -0.00282256      -0.0028871
     -0.00461536     -0.00486795
     -0.00157615     -0.00157186
     -0.00188875     -0.00191556
     -0.00632822     -0.00639127
     -0.00534931     -0.00539283
     -0.00722561     -0.00765472
     -0.00510528     -0.00484943
     -0.00552874     -0.00552447
     -0.00145379     -0.00148476
      -0.0018616     -0.00189654
     -0.00550527     -0.00541267
     -0.00720985     -0.00743688
     -0.00353991     -0.00383622
     -0.00130828     -0.00124413
     -0.00147707     -0.00146798
     -0.00259975     -0.00265706
    -0.000756011    -0.000739233
     -0.00823103     -0.00836914
     -0.00475067     -0.00476069
     -0.00328528     -0.00334349
     -0.00527545     -0.00521866
     -0.00345777     -0.00335224
     -0.00190727     -0.00206483
     -0.00206909     -0.00220832
     -0.00291817     -0.00284553
     -0.00490559     -0.00550481
     -0.00131291     -0.00139505
      -0.0026918     -0.00273684
     -0.00179202     -0.00175798
     -0.00201669     -0.00205255
     -0.00404243     -0.00421629
     -0.00209448     -0.00207643
     -0.00621115     -0.00558538
     -0.00361254     -0.00372749
     -0.00165105     -0.00168938
     -0.00632356     -0.00698557
     -0.00149573     -0.00150247
     -0.00210618     -0.00207287
     -0.00138642     -0.00136614
     -0.00271739     -0.00265331
     -0.00212996     -0.00211105
     -0.00122896     -0.00123664
     -0.00371892     -0.00383152
     -0.00280048     -0.00258068
     -0.00361071     -0.00361839
     -0.00587026     -0.00618752
