QM Energy	FF Energy
    -0.000374962    -0.000382929
     -0.00135475     -0.00120094
     -1.3859e-05    -1.67634e-05
     -2.7867e-05    -2.35418e-05
    -0.000856067    -0.000693637
     -2.3894e-05    -3.63391e-05
     -9.0388e-05    -9.81344e-05
      -9.104e-06    -1.16172e-05
    -0.000377681    -0.000412103
     -0.00103476     -0.00093484
     -2.8407e-05    -2.61042e-05
     -5.1716e-05    -8.19169e-05
     -2.7801e-05    -2.02067e-05
    -0.000667715      -0.0005634
      -6.533e-05    -6.16607e-05
     -6.1924e-05     -6.5781e-05
     -0.00171162     -0.00185602
       -1.89e-05    -2.41851e-05
    -0.000192079    -0.000205212
     -2.2082e-05    -2.95421e-05
     -0.00166722     -0.00184637
     -6.8749e-05    -0.000104205
    -0.000292888    -0.000286298
     -0.00104095    -0.000932159
    -0.000413577    -0.000383479
    -0.000113586    -0.000104132
    -0.000818678    -0.000839311
     -8.0817e-05    -7.30963e-05
     -2.6934e-05    -2.12999e-05
      -8.375e-06    -1.79764e-05
     -1.5226e-05    -2.35646e-05
     -3.3567e-05     -3.3328e-05
    -0.000152955    -0.000145893
      -8.044e-05    -0.000118724
     -2.3284e-05    -2.91902e-05
    -0.000501706    -0.000394251
     -9.7084e-05     -0.00011107
     -0.00141574     -0.00125149
     -0.00173315     -0.00201195
     -8.9262e-05    -0.000107068
    -0.000178707    -0.000219461
     -1.8031e-05    -2.33554e-05
     -6.9227e-05    -8.34737e-05
    -0.000811813    -0.000696218
    -0.000339753    -0.000306639
     -4.2006e-05    -4.83366e-05
     -0.00110642     -0.00105421
     -2.3646e-05    -2.46992e-05
     -0.00170511     -0.00139277
      -6.432e-06    -1.33778e-05
     -8.5567e-05    -0.000103034
     -1.2406e-05    -1.54377e-05
     -4.3757e-05    -3.48887e-05
    -0.000943512    -0.000964336
     -1.0693e-05    -1.73277e-05
     -2.4525e-05    -2.88574e-05
    -0.000131633    -0.000137272
     -8.1146e-05     -7.8398e-05
      -0.0013171     -0.00130149
    -0.000348547    -0.000354132
     -2.9821e-05    -4.31196e-05
