QM Energy	FF Energy
     -0.00334019     -0.00337377
      -0.0068847     -0.00687116
     -0.00059267    -0.000554988
    -0.000955351    -0.000839486
     -0.00535391      -0.0053616
    -0.000891969    -0.000865022
     -0.00133679     -0.00130103
    -0.000480629    -0.000422758
     -0.00331065     -0.00330822
     -0.00418929     -0.00418986
    -0.000857651    -0.000768468
      -0.0014297      -0.0014322
    -0.000776368    -0.000674769
     -0.00402869     -0.00395252
    -0.000940631    -0.000886327
      -0.0010454    -0.000999804
     -0.00932531     -0.00932819
    -0.000765565    -0.000729069
     -0.00206112     -0.00197622
    -0.000892125    -0.000857466
     -0.00849496     -0.00842122
     -0.00132981      -0.0013289
      -0.0025134      -0.0024772
     -0.00585525      -0.0059214
     -0.00240223     -0.00238632
     -0.00180637     -0.00177894
     -0.00442547     -0.00453593
     -0.00101067    -0.000950482
     -0.00114874    -0.000933386
      -0.0007248    -0.000716187
    -0.000609247    -0.000556069
    -0.000741271    -0.000682145
     -0.00203936     -0.00204332
      -0.0011809     -0.00112194
    -0.000933715    -0.000902738
     -0.00380605     -0.00381495
     -0.00192338     -0.00191407
     -0.00776287     -0.00777735
     -0.00942516     -0.00936536
     -0.00177526     -0.00175266
     -0.00241499     -0.00236765
    -0.000809988    -0.000781938
     -0.00134846     -0.00126191
     -0.00541629     -0.00537208
     -0.00290073     -0.00281753
     -0.00128586     -0.00120608
     -0.00638824     -0.00647329
    -0.000898305    -0.000814162
     -0.00703084     -0.00701985
    -0.000530003    -0.000499927
     -0.00164595     -0.00160863
    -0.000511026     -0.00046186
     -0.00101482    -0.000900546
     -0.00544548     -0.00540823
    -0.000597208    -0.000559915
    -0.000798726    -0.000759975
     -0.00166894     -0.00163346
     -0.00111848     -0.00105971
     -0.00591167     -0.00595519
     -0.00281921     -0.00277273
      -0.0010983     -0.00105528
     -0.00804043     -0.00811406
     -0.00209104     -0.00211978
     -0.00124165     -0.00119831
     -0.00119778     -0.00109862
     -0.00253861     -0.00239075
