QM Energy	FF Energy
    -0.000374962    -0.000442036
     -0.00135475     -0.00125497
     -1.3859e-05    -1.52184e-05
     -2.7867e-05    -2.73268e-05
    -0.000856067    -0.000672894
     -2.3894e-05    -4.24713e-05
     -9.0388e-05    -8.02172e-05
      -9.104e-06    -1.11561e-05
    -0.000377681    -0.000414373
     -0.00103476     -0.00070101
     -2.8407e-05    -3.02815e-05
     -5.1716e-05    -0.000106268
     -2.7801e-05    -2.04497e-05
    -0.000667715     -0.00056441
      -6.533e-05    -4.27415e-05
     -6.1924e-05    -5.30311e-05
     -0.00171162     -0.00219332
       -1.89e-05    -1.64634e-05
    -0.000192079    -0.000188949
     -2.2082e-05    -2.62863e-05
     -0.00166722       -0.001974
     -6.8749e-05    -0.000106548
    -0.000292888    -0.000253061
     -0.00104095     -0.00109492
    -0.000413577    -0.000275229
    -0.000113586    -6.02902e-05
    -0.000818678    -0.000789571
     -8.0817e-05    -5.01183e-05
     -2.6934e-05    -2.24829e-05
      -8.375e-06    -3.61046e-06
     -1.5226e-05    -2.14106e-05
     -3.3567e-05    -2.77468e-05
    -0.000152955    -5.43503e-05
      -8.044e-05    -7.51247e-05
     -2.3284e-05     -2.1145e-05
    -0.000501706    -0.000317013
     -9.7084e-05    -0.000128444
     -0.00141574     -0.00148485
     -0.00173315     -0.00148915
     -8.9262e-05    -0.000119747
    -0.000178707    -0.000231224
     -1.8031e-05    -2.12599e-05
     -6.9227e-05    -8.09957e-05
    -0.000811813    -0.000785063
    -0.000339753    -0.000282517
     -4.2006e-05    -6.82018e-05
     -0.00110642     -0.00117245
     -2.3646e-05    -3.16047e-05
     -0.00170511     -0.00144085
      -6.432e-06    -1.65045e-05
     -8.5567e-05    -0.000103127
     -1.2406e-05    -1.49934e-05
     -4.3757e-05    -3.67642e-05
    -0.000943512    -0.000962893
     -1.0693e-05    -2.09461e-05
     -2.4525e-05     -2.0005e-05
    -0.000131633    -9.88424e-05
     -8.1146e-05    -5.07235e-05
      -0.0013171     -0.00109173
    -0.000348547      -0.0002742
     -2.9821e-05    -5.45648e-05
     -0.00161157     -0.00166922
    -0.000184071    -0.000229353
     -5.4539e-05    -5.70244e-05
     -6.7885e-05    -6.26314e-05
    -0.000216081    -0.000191509
    -0.000440609    -0.000318311
    -0.000457569    -0.000513856
     -0.00158193     -0.00144863
     -7.1071e-05    -0.000115775
     -0.00098928    -0.000664124
     -6.0615e-05    -4.80268e-05
    -0.000933895    -0.000984127
     -6.5489e-05    -6.35767e-05
     -1.1684e-05    -2.22592e-05
     -2.3896e-05    -2.28191e-05
    -0.000106736    -0.000125142
      -4.839e-05    -8.49043e-05
    -0.000685811    -0.000392937
     -1.7078e-05    -1.75814e-05
    -0.000647768     -0.00057677
    -0.000119665     -0.00011971
    -0.000108322    -0.000164766
    -0.000254308    -0.000193553
    -0.000238321    -0.000225654
     -2.1366e-05    -2.50615e-05
    -0.000296843    -0.000229571
     -2.8464e-05    -2.87171e-05
     -0.00117909     -0.00127123
     -2.3494e-05    -2.66677e-05
     -1.7757e-05    -1.43491e-05
     -0.00227398     -0.00143665
     -6.7114e-05    -5.35234e-05
     -1.1231e-05      -1.812e-05
     -0.00153248     -0.00171429
     -6.2743e-05    -7.27534e-05
     -2.5115e-05    -2.85252e-05
    -0.000212239     -0.00033189
     -1.1706e-05    -1.06414e-05
    -0.000441243    -0.000337839
      -0.0017128     -0.00197371
    -0.000103063    -0.000103269
    -0.000976621     -0.00109958
     -2.8313e-05       -3.49e-05
    -0.000312486    -0.000383356
      -8.157e-06    -2.07366e-05
     -5.0489e-05    -5.68323e-05
    -0.000202791    -0.000137581
     -2.6325e-05    -2.23751e-05
    -0.000223704    -0.000211263
    -0.000338977    -0.000298942
    -0.000186088    -0.000227624
     -0.00107778    -0.000791523
      -0.0019149     -0.00147696
      -0.0004841    -0.000531117
    -0.000252817     -0.00017577
     -2.5119e-05    -3.06098e-05
     -0.00141798    -0.000931078
     -0.00026341    -0.000176015
     -0.00170256     -0.00200179
    -0.000319047    -0.000323422
     -5.9661e-05     -6.7427e-05
    -0.000114879    -0.000133627
     -7.6882e-05    -8.85908e-05
    -0.000152391    -8.65865e-05
     -6.6642e-05     -9.2266e-05
      -2.113e-05     -2.0264e-05
     -3.5119e-05    -2.65239e-05
       -0.000101    -0.000120729
     -0.00152888     -0.00177049
    -0.000201027    -0.000104791
     -2.6604e-05    -4.43922e-05
     -0.00161708     -0.00185956
     -1.0017e-05    -6.99291e-06
    -0.000542493     -0.00069018
     -2.3671e-05    -1.94446e-05
     -1.2139e-05    -1.66662e-05
     -0.00125097    -0.000882647
     -3.4719e-05    -4.06468e-05
     -0.00044358    -0.000343663
     -0.00159083     -0.00237192
     -8.7216e-05    -7.87319e-05
     -9.3955e-05    -0.000109606
     -8.3023e-05    -0.000107537
     -0.00069079     -0.00073336
     -0.00056576    -0.000662357
     -2.4598e-05    -2.19168e-05
      -3.638e-05    -5.75947e-05
     -3.9629e-05    -3.20539e-05
     -3.6332e-05    -3.95416e-05
      -3.857e-05    -4.20121e-05
    -0.000396741    -0.000439537
     -2.0096e-05    -1.59746e-05
    -0.000129235    -0.000127657
     -7.8212e-05    -2.41543e-05
    -0.000444137    -0.000407943
    -0.000326811    -0.000314756
      -2.704e-05    -2.63237e-05
       -6.17e-06    -7.60221e-06
    -0.000808731    -0.000829556
    -0.000139847    -0.000219449
     -0.00204599     -0.00220863
     -6.0387e-05    -8.65144e-05
     -0.00096804     -0.00105771
      -4.526e-06     -4.4279e-06
    -0.000101357    -8.34997e-05
     -2.0194e-05    -2.29127e-05
    -0.000615803    -0.000584964
    -0.000251632     -0.00036072
     -4.8587e-05    -7.19883e-05
     -0.00123492     -0.00124743
    -0.000239603    -0.000201757
    -0.000211871    -0.000179252
    -0.000148439    -0.000193311
     -2.4104e-05    -3.73384e-05
     -1.5025e-05    -2.79906e-05
     -0.00073512      -0.0008013
      -2.654e-05    -3.52405e-05
    -0.000289567    -0.000275106
     -4.5645e-05    -8.60053e-05
     -3.3935e-05    -5.89833e-05
    -0.000165098     -0.00012308
    -0.000131043      -0.0001225
    -0.000341208    -0.000603387
    -0.000324126    -0.000270328
    -0.000254982    -0.000152373
    -0.000726635    -0.000540913
     -0.00228549     -0.00198608
     -1.9674e-05      -2.684e-05
     -3.4186e-05    -2.51406e-05
    -0.000110234    -0.000144251
       -0.001761     -0.00127239
     -0.00154453     -0.00116725
     -4.7754e-05    -5.47297e-05
     -1.9596e-05     -2.1699e-05
     -0.00168443       -0.001511
     -1.7702e-05    -2.00357e-05
     -0.00100909    -0.000620682
      -3.537e-05    -3.68457e-05
    -0.000104715    -0.000137474
     -0.00123046    -0.000687557
    -0.000155673    -0.000135218
    -0.000251833    -0.000274788
    -0.000204371    -0.000156338
     -3.2122e-05    -5.61231e-05
      -4.811e-05    -2.99908e-05
    -0.000822968    -0.000796003
    -0.000212154    -0.000218038
       -1.48e-05    -2.05063e-05
    -0.000154763    -0.000185716
    -0.000574168    -0.000366407
     -2.5281e-05    -4.10761e-05
    -0.000400649    -0.000326846
    -0.000299044    -0.000371768
    -0.000106097     -0.00014305
      -4.037e-05    -4.82608e-05
     -2.0023e-05    -3.13231e-05
     -7.5451e-05    -7.54672e-05
    -0.000295308     -0.00026254
     -6.0879e-05     -4.6746e-05
     -8.7832e-05    -7.22047e-05
     -3.9492e-05    -6.49239e-05
    -0.000814308    -0.000670666
    -0.000114102    -0.000113808
      -0.0010971    -0.000973062
     -2.7559e-05    -2.74296e-05
     -4.8546e-05    -3.43759e-05
     -0.00010041    -7.15464e-05
     -0.00012792    -0.000146393
     -1.2406e-05    -1.00541e-05
     -7.4958e-05    -7.78097e-05
     -5.0408e-05    -5.24608e-05
     -2.8415e-05    -2.35243e-05
      -2.045e-05    -1.96936e-05
    -0.000103927    -0.000148908
     -0.00143915     -0.00147888
    -0.000320033    -0.000499353
     -5.3448e-05    -5.54265e-05
     -3.1657e-05    -3.52765e-05
     -0.00165261     -0.00149957
     -0.00120872     -0.00102317
    -0.000374505    -0.000454979
    -0.000181421    -0.000274066
    -0.000237959    -0.000308248
    -0.000983772    -0.000832183
     -3.6959e-05    -3.16802e-05
    -0.000366505    -0.000368675
    -0.000160005    -0.000179945
    -0.000263576    -0.000247013
     -0.00126189     -0.00174038
    -0.000537827      -0.0003134
     -7.5279e-05    -7.50814e-05
    -0.000205331    -0.000251258
    -0.000382133    -0.000435158
     -0.00115078     -0.00121668
     -5.2674e-05    -3.24931e-05
    -0.000179045    -0.000195543
    -0.000160197     -0.00015979
     -3.5176e-05     -2.9023e-05
     -0.00123133    -0.000827471
      -3.826e-05     -6.2739e-05
     -5.3197e-05    -6.84221e-05
    -0.000259045    -0.000219464
     -3.1371e-05    -6.39721e-05
     -6.5948e-05    -9.51861e-05
     -7.3061e-05    -6.44683e-05
     -1.1946e-05    -1.76231e-05
     -6.4399e-05    -5.41033e-05
    -0.000247228    -0.000288709
    -0.000103611    -0.000122841
     -6.1529e-05    -6.18671e-05
    -0.000112966    -0.000143274
    -0.000993358     -0.00111094
     -8.9887e-05    -0.000104765
     -2.3711e-05    -2.27311e-05
     -7.6278e-05     -8.9818e-05
     -2.6276e-05    -3.61869e-05
    -0.000234448    -0.000188443
    -0.000434508    -0.000552442
     -0.00108484     -0.00073765
     -0.00143511      -0.0013614
    -0.000243424    -0.000262276
     -1.8606e-05    -1.87609e-05
      -9.278e-06    -7.51867e-06
     -0.00248428     -0.00247253
    -0.000528916    -0.000468179
     -0.00107059    -0.000985674
    -0.000202431    -0.000270388
    -0.000157133    -0.000171182
     -0.00031493    -0.000252167
     -1.2472e-05    -1.08535e-05
     -3.8627e-05    -4.18626e-05
    -0.000751471     -0.00069302
    -0.000896213    -0.000846898
     -2.7223e-05     -2.3656e-05
    -0.000327318    -0.000322996
     -0.00076499    -0.000670492
     -3.1063e-05    -2.95756e-05
     -2.5625e-05    -1.67085e-05
     -0.00163469     -0.00163503
     -7.9922e-05    -0.000145304
     -2.2341e-05    -2.24548e-05
    -0.000313198    -0.000268135
    -0.000387197    -0.000435186
     -0.00177821     -0.00122489
     -2.9311e-05    -2.21437e-05
    -0.000507862    -0.000717239
     -1.5559e-05    -3.44693e-05
     -4.4365e-05    -2.84643e-05
    -0.000133445    -0.000220067
     -4.2978e-05      -5.516e-05
    -0.000308475     -0.00031738
    -0.000792724    -0.000482608
     -3.8263e-05    -6.46522e-05
      -1.585e-05     -9.8707e-06
      -9.633e-06    -9.14292e-06
     -2.2303e-05    -1.52903e-05
     -1.6844e-05    -1.84378e-05
     -3.0918e-05    -3.55653e-05
    -0.000145722    -0.000245943
    -0.000892141    -0.000804196
    -0.000192331    -0.000239113
     -2.0018e-05    -1.57541e-05
    -0.000794786    -0.000571725
