QM Energy	FF Energy
    -0.000377107    -0.000444141
     -0.00144528     -0.00160004
     -9.1537e-05    -9.18412e-05
     -9.8275e-05      -0.0001012
     -0.00105475     -0.00111026
    -0.000100882    -0.000111376
    -0.000244125    -0.000239429
     -4.6689e-05    -5.16135e-05
    -0.000355653    -0.000461834
     -0.00124009     -0.00109079
      -7.329e-05    -7.81189e-05
    -0.000161371     -0.00018571
     -6.7526e-05    -6.83333e-05
    -0.000666453    -0.000672711
    -0.000222732    -0.000198805
    -0.000196963     -0.00018716
     -0.00209504     -0.00216374
    -0.000163845    -0.000134531
    -0.000288121     -0.00030558
    -0.000146445    -0.000149318
     -0.00203238       -0.001945
    -0.000154803    -0.000166853
    -0.000366496    -0.000365599
    -0.000821277    -0.000981837
     -0.00058882    -0.000547758
    -0.000468644    -0.000367457
    -0.000851037    -0.000938335
    -0.000260831    -0.000220145
     -1.6981e-05    -6.35876e-05
    -0.000244396    -0.000167105
     -7.1541e-05    -7.93567e-05
     -0.00014841    -0.000122523
    -0.000645676    -0.000481158
    -0.000182149    -0.000202339
    -0.000184746    -0.000158632
    -0.000812207    -0.000803842
    -0.000254147     -0.00029088
     -0.00101756     -0.00133803
     -0.00251667      -0.0024981
    -0.000291319    -0.000255897
    -0.000219148    -0.000303359
    -0.000132465    -0.000137159
    -0.000182202    -0.000182396
    -0.000693307    -0.000816838
    -0.000313666     -0.00035153
     -8.8138e-05      -0.0001273
    -0.000874964     -0.00118602
     -7.1106e-05    -8.97779e-05
     -0.00147663     -0.00125249
     -5.1511e-05    -5.83854e-05
    -0.000248009    -0.000254583
     -6.1805e-05    -6.60432e-05
     -9.0629e-05    -9.42269e-05
    -0.000967486     -0.00106407
     -5.1061e-05    -5.83592e-05
    -0.000170761     -0.00015001
    -0.000365114    -0.000336099
     -0.00027785    -0.000246639
      -0.0012288     -0.00136859
     -0.00057106    -0.000566376
    -0.000126859    -0.000144719
     -0.00137462     -0.00125101
     -0.00039408    -0.000398746
    -0.000216844    -0.000212518
    -0.000150522    -0.000164477
     -0.00027236    -0.000291973
    -0.000532846    -0.000501889
    -0.000708126    -0.000644918
      -0.0019906     -0.00162637
    -0.000188529    -0.000217836
     -0.00118571     -0.00133467
    -0.000265711    -0.000248458
    -0.000924814    -0.000969304
    -0.000189912    -0.000169124
     -5.6556e-05    -6.22334e-05
     -6.0503e-05    -7.84081e-05
    -0.000194491    -0.000234634
    -0.000139646    -0.000133439
