QM Energy	FF Energy
    -0.000374962    -0.000442907
     -0.00135475     -0.00129422
     -1.3859e-05    -1.56017e-05
     -2.7867e-05    -2.53415e-05
    -0.000856067    -0.000691554
     -2.3894e-05    -4.28362e-05
     -9.0388e-05    -8.12223e-05
      -9.104e-06    -1.15093e-05
    -0.000377681     -0.00041602
     -0.00103476    -0.000720144
     -2.8407e-05     -3.0594e-05
     -5.1716e-05    -0.000105874
     -2.7801e-05    -2.15934e-05
    -0.000667715    -0.000543946
      -6.533e-05    -4.36357e-05
     -6.1924e-05    -5.29406e-05
     -0.00171162     -0.00224408
       -1.89e-05    -1.78514e-05
    -0.000192079    -0.000182549
     -2.2082e-05    -2.73369e-05
     -0.00166722      -0.0019832
     -6.8749e-05    -0.000104247
    -0.000292888    -0.000261439
     -0.00104095     -0.00108761
    -0.000413577    -0.000273136
    -0.000113586    -6.42147e-05
    -0.000818678    -0.000784855
     -8.0817e-05    -5.02397e-05
     -2.6934e-05    -2.52054e-05
      -8.375e-06    -4.48562e-06
     -1.5226e-05    -2.05141e-05
     -3.3567e-05     -2.6341e-05
    -0.000152955    -5.66032e-05
      -8.044e-05    -7.70041e-05
     -2.3284e-05     -2.2909e-05
    -0.000501706    -0.000327531
     -9.7084e-05    -0.000132637
     -0.00141574     -0.00145645
     -0.00173315     -0.00155402
     -8.9262e-05    -0.000122552
    -0.000178707    -0.000235028
     -1.8031e-05    -2.25142e-05
     -6.9227e-05    -7.67131e-05
    -0.000811813    -0.000749836
    -0.000339753    -0.000295175
     -4.2006e-05    -6.79772e-05
     -0.00110642     -0.00114154
     -2.3646e-05    -3.09466e-05
     -0.00170511     -0.00144022
      -6.432e-06    -1.61813e-05
     -8.5567e-05    -0.000105097
     -1.2406e-05    -1.41826e-05
     -4.3757e-05     -3.7674e-05
    -0.000943512    -0.000907726
     -1.0693e-05    -2.05226e-05
     -2.4525e-05     -2.1589e-05
    -0.000131633    -0.000103443
     -8.1146e-05    -5.31876e-05
      -0.0013171     -0.00110375
    -0.000348547    -0.000271827
     -2.9821e-05    -5.42531e-05
     -0.00161157     -0.00170407
    -0.000184071    -0.000224781
     -5.4539e-05    -5.98414e-05
     -6.7885e-05    -6.40959e-05
    -0.000216081    -0.000188013
    -0.000440609    -0.000307145
    -0.000457569    -0.000515756
     -0.00158193     -0.00146639
     -7.1071e-05    -0.000113604
     -0.00098928    -0.000695708
     -6.0615e-05    -5.15395e-05
    -0.000933895    -0.000936885
     -6.5489e-05     -5.8812e-05
     -1.1684e-05    -2.13285e-05
     -2.3896e-05    -2.39399e-05
    -0.000106736    -0.000124017
      -4.839e-05    -8.29019e-05
    -0.000685811    -0.000415681
     -1.7078e-05    -1.67701e-05
    -0.000647768     -0.00056942
    -0.000119665    -0.000122577
    -0.000108322    -0.000167889
    -0.000254308    -0.000202046
    -0.000238321    -0.000221515
     -2.1366e-05    -2.54412e-05
    -0.000296843    -0.000232541
     -2.8464e-05    -2.99211e-05
     -0.00117909     -0.00124396
     -2.3494e-05    -2.67866e-05
     -1.7757e-05    -1.58598e-05
     -0.00227398     -0.00138859
     -6.7114e-05    -5.67638e-05
     -1.1231e-05    -1.78259e-05
     -0.00153248     -0.00153766
     -6.2743e-05    -7.06018e-05
     -2.5115e-05     -2.7966e-05
    -0.000212239     -0.00033389
     -1.1706e-05    -1.18405e-05
    -0.000441243    -0.000334701
      -0.0017128     -0.00200942
    -0.000103063    -0.000108306
    -0.000976621     -0.00110646
     -2.8313e-05    -3.35275e-05
    -0.000312486    -0.000394111
      -8.157e-06    -2.06778e-05
     -5.0489e-05    -5.74644e-05
    -0.000202791    -0.000123897
     -2.6325e-05    -2.46127e-05
    -0.000223704    -0.000214625
    -0.000338977    -0.000300015
    -0.000186088    -0.000231484
     -0.00107778    -0.000811767
      -0.0019149     -0.00138451
      -0.0004841     -0.00051219
    -0.000252817    -0.000188976
     -2.5119e-05    -3.01534e-05
     -0.00141798    -0.000971334
     -0.00026341    -0.000189928
     -0.00170256     -0.00186418
    -0.000319047     -0.00030798
     -5.9661e-05    -6.78957e-05
    -0.000114879    -0.000131882
     -7.6882e-05    -9.20611e-05
    -0.000152391    -8.38315e-05
     -6.6642e-05    -9.25256e-05
      -2.113e-05    -2.01591e-05
     -3.5119e-05     -2.9251e-05
       -0.000101    -0.000115198
     -0.00152888     -0.00158611
    -0.000201027    -0.000110999
     -2.6604e-05    -4.57559e-05
     -0.00161708     -0.00190566
     -1.0017e-05    -8.13763e-06
    -0.000542493     -0.00069855
     -2.3671e-05    -2.10345e-05
     -1.2139e-05    -1.59943e-05
     -0.00125097    -0.000950113
     -3.4719e-05    -3.90427e-05
     -0.00044358    -0.000331001
     -0.00159083      -0.0024991
     -8.7216e-05    -8.13012e-05
     -9.3955e-05    -0.000107986
     -8.3023e-05    -0.000106346
     -0.00069079    -0.000704531
     -0.00056576    -0.000650706
     -2.4598e-05    -2.33387e-05
      -3.638e-05    -5.63016e-05
     -3.9629e-05    -3.51006e-05
     -3.6332e-05    -3.82193e-05
      -3.857e-05    -4.43519e-05
    -0.000396741    -0.000430655
     -2.0096e-05    -1.38925e-05
    -0.000129235    -0.000133136
     -7.8212e-05    -2.55857e-05
