QM Energy	FF Energy
     -0.00334019     -0.00373912
      -0.0068847     -0.00663306
     -0.00059267    -0.000567106
    -0.000955351    -0.000850958
     -0.00535391     -0.00495784
    -0.000891969    -0.000976226
     -0.00133679     -0.00124255
    -0.000480629     -0.00050679
     -0.00331065     -0.00361246
     -0.00418929     -0.00394132
    -0.000857651     -0.00088351
      -0.0014297     -0.00169784
    -0.000776368    -0.000749379
     -0.00402869     -0.00396971
    -0.000940631    -0.000817231
      -0.0010454    -0.000958592
     -0.00932531     -0.00916742
    -0.000765565    -0.000633274
     -0.00206112     -0.00208978
    -0.000892125    -0.000794582
     -0.00849496     -0.00814135
     -0.00132981     -0.00156894
      -0.0025134     -0.00268072
     -0.00585525     -0.00630042
     -0.00240223      -0.0022048
     -0.00180637     -0.00141129
     -0.00442547     -0.00447157
     -0.00101067    -0.000865824
     -0.00114874    -0.000967102
      -0.0007248    -0.000469883
    -0.000609247    -0.000635996
    -0.000741271    -0.000654069
     -0.00203936     -0.00138671
      -0.0011809     -0.00125367
    -0.000933715    -0.000788824
     -0.00380605     -0.00331773
     -0.00192338      -0.0019451
     -0.00776287     -0.00795504
     -0.00942516     -0.00748159
     -0.00177526     -0.00184489
     -0.00241499     -0.00272159
    -0.000809988    -0.000744386
     -0.00134846     -0.00131849
     -0.00541629     -0.00529871
     -0.00290073     -0.00302602
     -0.00128586     -0.00144584
     -0.00638824     -0.00634057
    -0.000898305    -0.000921646
     -0.00703084     -0.00700171
    -0.000530003    -0.000608379
     -0.00164595      -0.0016167
    -0.000511026    -0.000506154
     -0.00101482    -0.000995975
     -0.00544548     -0.00542228
    -0.000597208    -0.000691759
    -0.000798726    -0.000668472
     -0.00166894     -0.00142303
     -0.00111848    -0.000921175
     -0.00591167     -0.00539925
     -0.00281921     -0.00242194
      -0.0010983     -0.00120112
     -0.00804043     -0.00848371
     -0.00209104     -0.00231208
     -0.00124165     -0.00115786
     -0.00119778     -0.00124416
     -0.00253861     -0.00244057
     -0.00316506     -0.00292982
     -0.00343468     -0.00372353
      -0.0063352     -0.00623154
       -0.001471     -0.00173443
     -0.00565092     -0.00476392
     -0.00128169     -0.00107703
     -0.00509105     -0.00525737
     -0.00126168     -0.00111826
    -0.000563821    -0.000647359
    -0.000827478    -0.000817192
     -0.00158223     -0.00177697
     -0.00118033     -0.00138669
     -0.00441132     -0.00344272
    -0.000590029    -0.000562578
     -0.00442272     -0.00443878
     -0.00155717     -0.00172166
     -0.00200638     -0.00218888
     -0.00222772     -0.00229954
     -0.00264173     -0.00263644
     -0.00068013    -0.000735779
     -0.00247558     -0.00217653
     -0.00082166    -0.000778741
     -0.00686544     -0.00716678
    -0.000802474    -0.000822982
    -0.000827595    -0.000659944
     -0.00680703     -0.00583042
     -0.00115443     -0.00114355
    -0.000632014    -0.000687456
     -0.00935941     -0.00763194
     -0.00107103     -0.00112835
    -0.000832381    -0.000788824
     -0.00292947     -0.00321312
     -0.00074192    -0.000589091
     -0.00292076     -0.00262846
      -0.0109717      -0.0105518
     -0.00187923     -0.00177501
     -0.00557893      -0.0059126
    -0.000754393      -0.0007826
     -0.00347477     -0.00350795
    -0.000649624    -0.000752655
     -0.00108623     -0.00111267
      -0.0022143     -0.00166509
    -0.000863528    -0.000800266
     -0.00243313     -0.00235238
     -0.00304515     -0.00281694
     -0.00252302     -0.00263065
     -0.00597905     -0.00525485
     -0.00648605     -0.00573904
     -0.00405554     -0.00424093
     -0.00230766     -0.00231007
    -0.000736482    -0.000779395
     -0.00490934     -0.00443269
     -0.00232596     -0.00230449
      -0.0093332     -0.00871818
     -0.00330755     -0.00330692
     -0.00120875      -0.0012934
     -0.00157633     -0.00179408
     -0.00158985     -0.00151952
     -0.00139325     -0.00109593
     -0.00148895     -0.00165613
     -0.00060112    -0.000581137
    -0.000930272    -0.000892619
     -0.00142263     -0.00153072
     -0.00983427     -0.00826422
     -0.00235096     -0.00184032
     -0.00107057     -0.00118145
     -0.00894977     -0.00911777
    -0.000720618    -0.000540308
      -0.0045015     -0.00492051
     -0.00083387    -0.000676513
    -0.000584086    -0.000576426
     -0.00563676     -0.00559638
     -0.00101473     -0.00100131
     -0.00346678     -0.00325746
      -0.0108709     -0.00950922
     -0.00151544     -0.00134488
     -0.00174269     -0.00181761
     -0.00166941     -0.00169575
     -0.00478547     -0.00499155
     -0.00386912      -0.0044206
    -0.000688543    -0.000700622
     -0.00113506     -0.00117162
     -0.00103991    -0.000993532
     -0.00103868     -0.00090233
     -0.00110373     -0.00110712
     -0.00291698     -0.00332181
    -0.000683296    -0.000506689
     -0.00212287      -0.0020939
     -0.00153609    -0.000969686
     -0.00279377     -0.00306583
     -0.00321577     -0.00295545
    -0.000670443    -0.000658384
    -0.000593807    -0.000510031
     -0.00549867     -0.00545898
     -0.00204517     -0.00244045
      -0.0100087     -0.00987331
      -0.0014913     -0.00150815
     -0.00506158     -0.00561284
      -0.0005856    -0.000460941
     -0.00153654     -0.00153774
    -0.000636713     -0.00064858
     -0.00444738     -0.00433165
     -0.00281742     -0.00331427
     -0.00119828     -0.00128199
     -0.00662622     -0.00657544
     -0.00231261     -0.00238482
     -0.00221645     -0.00228747
     -0.00209175     -0.00233175
    -0.000841749    -0.000887425
    -0.000750158    -0.000787511
     -0.00454743     -0.00491434
    -0.000989523    -0.000952581
     -0.00265195     -0.00284008
      -0.0011561     -0.00138271
     -0.00107547     -0.00118137
     -0.00207851     -0.00179458
     -0.00184105     -0.00185081
     -0.00409763     -0.00485306
     -0.00331342     -0.00296045
     -0.00181498     -0.00157221
     -0.00398081     -0.00406472
      -0.0103879     -0.00986879
    -0.000806067    -0.000767328
     -0.00088371    -0.000662525
     -0.00184929     -0.00196806
       -0.008778     -0.00718826
     -0.00626096     -0.00538237
    -0.000975027     -0.00101943
    -0.000781245    -0.000679445
     -0.00869412     -0.00772128
    -0.000634971      -0.0006357
     -0.00558611     -0.00444733
    -0.000991098    -0.000921102
     -0.00154892     -0.00175846
     -0.00625993      -0.0050063
     -0.00175233     -0.00187523
     -0.00285623     -0.00305259
     -0.00217403     -0.00221845
    -0.000945844     -0.00111311
     -0.00125093    -0.000948464
     -0.00554667     -0.00546534
     -0.00220238     -0.00219483
    -0.000619509    -0.000664486
     -0.00182223     -0.00199047
     -0.00414177     -0.00336848
    -0.000798226     -0.00092574
     -0.00371903     -0.00321255
      -0.0027066     -0.00314826
     -0.00155731     -0.00177455
     -0.00124989     -0.00124461
    -0.000701466    -0.000779627
     -0.00156632     -0.00157546
     -0.00236572     -0.00232983
    -0.000958608    -0.000868661
     -0.00130395     -0.00134512
     -0.00118646     -0.00125831
     -0.00462265      -0.0042505
     -0.00155123     -0.00155151
     -0.00648141      -0.0058346
    -0.000934697    -0.000822879
    -0.000998163    -0.000756946
     -0.00137029     -0.00118953
     -0.00215028     -0.00225442
     -0.00049106    -0.000482605
     -0.00170551     -0.00165897
     -0.00126259     -0.00112855
    -0.000691297    -0.000630519
    -0.000656792    -0.000623653
     -0.00179207     -0.00196868
     -0.00716248      -0.0073586
     -0.00367914     -0.00434429
      -0.0013624     -0.00134521
      -0.0010538     -0.00107122
     -0.00840958     -0.00725138
     -0.00671566     -0.00596835
     -0.00374099      -0.0038559
     -0.00265429     -0.00307071
     -0.00280513     -0.00300477
      -0.0055869      -0.0050401
     -0.00105068    -0.000888427
     -0.00371478     -0.00386535
      -0.0018898     -0.00201073
     -0.00256993     -0.00266563
     -0.00731173     -0.00787318
     -0.00390549     -0.00333143
     -0.00146434     -0.00147465
     -0.00211221     -0.00239089
     -0.00302468     -0.00344745
     -0.00719405     -0.00755583
     -0.00120101    -0.000895808
     -0.00202408     -0.00218348
     -0.00189913     -0.00205459
    -0.000860895    -0.000710722
     -0.00506585     -0.00460745
     -0.00099621     -0.00112214
     -0.00138347     -0.00133347
     -0.00269913     -0.00238263
     -0.00108831     -0.00130318
       -0.001169     -0.00133511
     -0.00106082     -0.00102028
    -0.000615037    -0.000651183
     -0.00133579     -0.00120728
     -0.00296494     -0.00295848
     -0.00191965     -0.00200901
