QM Energy	FF Energy
    -0.000374962    -0.000382918
     -0.00135475     -0.00120093
     -1.3859e-05    -1.67646e-05
     -2.7867e-05    -2.35413e-05
    -0.000856067     -0.00069363
     -2.3894e-05    -3.63399e-05
     -9.0388e-05    -9.81331e-05
      -9.104e-06    -1.16165e-05
    -0.000377681    -0.000412087
     -0.00103476    -0.000934843
     -2.8407e-05    -2.61005e-05
     -5.1716e-05    -8.19165e-05
     -2.7801e-05    -2.02039e-05
    -0.000667715    -0.000563403
      -6.533e-05    -6.16606e-05
     -6.1924e-05    -6.57799e-05
     -0.00171162     -0.00185602
       -1.89e-05     -2.4171e-05
    -0.000192079    -0.000205223
     -2.2082e-05    -2.95416e-05
     -0.00166722     -0.00184637
     -6.8749e-05    -0.000104206
    -0.000292888    -0.000286295
     -0.00104095    -0.000932158
    -0.000413577    -0.000383478
    -0.000113586    -0.000104136
    -0.000818678    -0.000839327
     -8.0817e-05    -7.30967e-05
     -2.6934e-05    -2.12997e-05
      -8.375e-06    -1.79777e-05
     -1.5226e-05    -2.35657e-05
     -3.3567e-05    -3.33265e-05
    -0.000152955    -0.000145891
      -8.044e-05    -0.000118724
     -2.3284e-05     -2.9171e-05
    -0.000501706    -0.000394252
     -9.7084e-05     -0.00011107
     -0.00141574      -0.0012515
     -0.00173315     -0.00201199
     -8.9262e-05     -0.00010707
    -0.000178707    -0.000219462
     -1.8031e-05    -2.33557e-05
     -6.9227e-05    -8.34742e-05
    -0.000811813    -0.000696217
    -0.000339753    -0.000306639
     -4.2006e-05    -4.83389e-05
     -0.00110642     -0.00105421
     -2.3646e-05     -2.4696e-05
     -0.00170511     -0.00139277
      -6.432e-06     -1.3377e-05
     -8.5567e-05    -0.000103105
     -1.2406e-05    -1.54366e-05
     -4.3757e-05    -3.48888e-05
    -0.000943512    -0.000964323
     -1.0693e-05    -1.73291e-05
     -2.4525e-05    -2.88588e-05
    -0.000131633    -0.000137278
     -8.1146e-05    -7.83982e-05
      -0.0013171     -0.00130152
    -0.000348547    -0.000354132
     -2.9821e-05    -4.31198e-05
     -0.00161157      -0.0013716
    -0.000184071    -0.000270997
     -5.4539e-05     -6.1395e-05
     -6.7885e-05    -7.48293e-05
    -0.000216081    -0.000182977
    -0.000440609    -0.000333322
    -0.000457569    -0.000462288
     -0.00158193     -0.00149738
     -7.1071e-05    -0.000113767
     -0.00098928    -0.000863113
     -6.0615e-05    -6.56484e-05
    -0.000933895    -0.000913122
     -6.5489e-05    -6.79078e-05
     -1.1684e-05    -2.19401e-05
     -2.3896e-05    -2.24348e-05
    -0.000106736    -0.000149222
      -4.839e-05    -7.20016e-05
    -0.000685811      -0.0006287
     -1.7078e-05    -1.81159e-05
    -0.000647768    -0.000517889
    -0.000119665    -0.000141647
    -0.000108322    -0.000132668
    -0.000254308     -0.00022416
    -0.000238321    -0.000191298
     -2.1366e-05    -2.98099e-05
    -0.000296843    -0.000302574
     -2.8464e-05    -3.28407e-05
     -0.00117909     -0.00103432
     -2.3494e-05    -2.45483e-05
     -1.7757e-05    -2.37451e-05
     -0.00227398      -0.0019324
     -6.7114e-05    -7.45394e-05
     -1.1231e-05    -1.52693e-05
     -0.00153248     -0.00187808
     -6.2743e-05     -8.0569e-05
     -2.5115e-05    -2.79977e-05
    -0.000212239    -0.000270113
     -1.1706e-05    -1.83642e-05
    -0.000441243    -0.000436561
      -0.0017128     -0.00167874
    -0.000103063    -0.000104304
    -0.000976621     -0.00095048
     -2.8313e-05    -3.79782e-05
    -0.000312486    -0.000332306
      -8.157e-06    -1.56004e-05
     -5.0489e-05    -5.51061e-05
    -0.000202791    -0.000182518
     -2.6325e-05    -2.75442e-05
    -0.000223704     -0.00022138
    -0.000338977    -0.000329445
    -0.000186088    -0.000205551
     -0.00107778      -0.0009263
      -0.0019149     -0.00185311
      -0.0004841    -0.000440461
    -0.000252817    -0.000209534
     -2.5119e-05    -3.29652e-05
     -0.00141798     -0.00133224
     -0.00026341    -0.000206896
     -0.00170256     -0.00173032
    -0.000319047      -0.0002527
     -5.9661e-05    -6.76353e-05
    -0.000114879    -0.000169176
     -7.6882e-05    -8.94046e-05
    -0.000152391    -0.000136006
     -6.6642e-05    -7.53833e-05
      -2.113e-05    -2.34187e-05
     -3.5119e-05    -2.72033e-05
       -0.000101     -0.00013171
     -0.00152888     -0.00177405
    -0.000201027    -0.000174306
     -2.6604e-05    -3.53901e-05
     -0.00161708     -0.00136694
     -1.0017e-05    -1.66186e-05
    -0.000542493    -0.000546515
     -2.3671e-05    -2.96019e-05
     -1.2139e-05    -1.55955e-05
     -0.00125097     -0.00107007
