QM Energy	FF Energy
     -0.00334019     -0.00339381
      -0.0068847     -0.00687754
     -0.00059267    -0.000572682
    -0.000955351    -0.000873417
     -0.00535391      -0.0054146
    -0.000891969    -0.000888486
     -0.00133679     -0.00132507
    -0.000480629    -0.000438601
     -0.00331065     -0.00332484
     -0.00418929     -0.00419181
    -0.000857651    -0.000796154
      -0.0014297     -0.00146666
    -0.000776368    -0.000701533
     -0.00402869     -0.00397096
    -0.000940631    -0.000899122
      -0.0010454     -0.00101617
     -0.00932531     -0.00925111
    -0.000765565    -0.000737489
     -0.00206112     -0.00199721
    -0.000892125    -0.000879695
     -0.00849496     -0.00835958
     -0.00132981     -0.00134898
      -0.0025134     -0.00248776
     -0.00585525     -0.00590793
     -0.00240223     -0.00239897
     -0.00180637     -0.00180803
     -0.00442547     -0.00454572
     -0.00101067    -0.000963367
     -0.00114874    -0.000988027
      -0.0007248    -0.000708772
    -0.000609247    -0.000569089
    -0.000741271    -0.000694631
     -0.00203936     -0.00204598
      -0.0011809     -0.00112897
    -0.000933715    -0.000916787
     -0.00380605     -0.00386892
     -0.00192338     -0.00196659
     -0.00776287     -0.00777243
     -0.00942516     -0.00927882
     -0.00177526     -0.00179697
     -0.00241499     -0.00240164
    -0.000809988    -0.000803437
     -0.00134846     -0.00128662
     -0.00541629     -0.00541458
     -0.00290073     -0.00284767
     -0.00128586      -0.0012525
     -0.00638824     -0.00649617
    -0.000898305    -0.000848299
     -0.00703084      -0.0069677
    -0.000530003     -0.00051765
     -0.00164595     -0.00164592
    -0.000511026    -0.000473172
     -0.00101482    -0.000931835
     -0.00544548     -0.00541885
    -0.000597208    -0.000580465
    -0.000798726    -0.000769204
     -0.00166894     -0.00165478
     -0.00111848     -0.00107151
     -0.00591167     -0.00597875
     -0.00281921     -0.00280771
      -0.0010983     -0.00108985
     -0.00804043     -0.00804359
     -0.00209104     -0.00212785
     -0.00124165     -0.00121404
     -0.00119778     -0.00112267
     -0.00253861     -0.00244348
     -0.00316506     -0.00305587
     -0.00343468      -0.0034629
      -0.0063352     -0.00613185
       -0.001471     -0.00148995
     -0.00565092     -0.00571831
     -0.00128169     -0.00126844
     -0.00509105     -0.00515992
     -0.00126168     -0.00117601
    -0.000563821    -0.000549937
    -0.000827478    -0.000747333
     -0.00158223     -0.00156242
     -0.00118033     -0.00119299
     -0.00441132     -0.00448531
    -0.000590029    -0.000557381
     -0.00442272     -0.00438964
     -0.00155717     -0.00153484
     -0.00200638     -0.00204731
     -0.00222772     -0.00217398
     -0.00264173     -0.00257369
     -0.00068013     -0.00063693
     -0.00247558     -0.00247718
     -0.00082166    -0.000798714
     -0.00686544     -0.00694612
    -0.000802474    -0.000738836
    -0.000827595    -0.000806398
     -0.00680703     -0.00665871
     -0.00115443     -0.00105812
    -0.000632014     -0.00059208
     -0.00935941     -0.00947234
     -0.00107103     -0.00104745
    -0.000832381    -0.000800862
     -0.00292947     -0.00303019
     -0.00074192    -0.000718141
     -0.00292076     -0.00292393
      -0.0109717      -0.0113198
     -0.00187923     -0.00190719
     -0.00557893     -0.00561357
    -0.000754393    -0.000720002
     -0.00347477     -0.00359451
    -0.000649624    -0.000635028
     -0.00108623     -0.00106537
      -0.0022143     -0.00211839
    -0.000863528    -0.000750975
     -0.00243313     -0.00244029
     -0.00304515     -0.00305268
     -0.00252302     -0.00256242
     -0.00597905     -0.00599297
     -0.00648605      -0.0063809
     -0.00405554     -0.00406518
     -0.00230766     -0.00220535
    -0.000736482    -0.000690566
     -0.00490934      -0.0048872
     -0.00232596     -0.00221797
      -0.0093332     -0.00931284
     -0.00330755     -0.00328065
     -0.00120875     -0.00115626
     -0.00157633     -0.00157244
     -0.00158985     -0.00159359
     -0.00139325     -0.00132378
     -0.00148895      -0.0014456
     -0.00060112    -0.000568946
    -0.000930272    -0.000826257
     -0.00142263     -0.00141723
     -0.00983427      -0.0100321
     -0.00235096     -0.00238305
     -0.00107057     -0.00100987
     -0.00894977     -0.00891732
    -0.000720618    -0.000706101
      -0.0045015     -0.00464064
     -0.00083387    -0.000803326
    -0.000584086    -0.000560834
     -0.00563676     -0.00565455
     -0.00101473    -0.000945154
     -0.00346678      -0.0033779
      -0.0108709      -0.0107134
     -0.00151544     -0.00149817
     -0.00174269     -0.00168021
     -0.00166941     -0.00164793
     -0.00478547     -0.00484189
     -0.00386912     -0.00399116
    -0.000688543    -0.000624166
     -0.00113506     -0.00111945
     -0.00103991    -0.000920898
     -0.00103868    -0.000994122
     -0.00110373     -0.00100489
     -0.00291698     -0.00302604
    -0.000683296    -0.000620688
     -0.00212287     -0.00197931
     -0.00153609     -0.00153494
     -0.00279377     -0.00283855
     -0.00321577     -0.00321145
    -0.000670443    -0.000645867
    -0.000593807      -0.0005788
     -0.00549867     -0.00565832
     -0.00204517     -0.00211833
      -0.0100087     -0.00994751
      -0.0014913     -0.00151192
     -0.00506158     -0.00525201
      -0.0005856    -0.000570983
     -0.00153654     -0.00141907
    -0.000636713     -0.00060719
     -0.00444738     -0.00451119
     -0.00281742     -0.00290226
     -0.00119828       -0.001186
     -0.00662622     -0.00657453
     -0.00231261     -0.00224546
     -0.00221645     -0.00215064
     -0.00209175     -0.00208866
    -0.000841749    -0.000826228
    -0.000750158    -0.000731977
     -0.00454743     -0.00458487
    -0.000989523    -0.000993042
     -0.00265195     -0.00261358
      -0.0011561     -0.00118339
     -0.00107547      -0.0010746
     -0.00207851     -0.00207516
     -0.00184105     -0.00175166
     -0.00409763     -0.00426061
     -0.00331342     -0.00324607
     -0.00181498     -0.00177547
     -0.00398081     -0.00392098
      -0.0103879      -0.0105499
    -0.000806067    -0.000776569
     -0.00088371    -0.000807773
     -0.00184929     -0.00188349
       -0.008778     -0.00871878
     -0.00626096     -0.00623124
    -0.000975027    -0.000943637
    -0.000781245    -0.000744083
     -0.00869412     -0.00848107
    -0.000634971    -0.000600088
     -0.00558611     -0.00566738
    -0.000991098      -0.0009305
     -0.00154892      -0.0015764
     -0.00625993     -0.00647259
     -0.00175233     -0.00170949
     -0.00285623     -0.00279737
     -0.00217403     -0.00208398
    -0.000945844    -0.000948896
     -0.00125093     -0.00122551
     -0.00554667     -0.00565764
     -0.00220238     -0.00215988
    -0.000619509    -0.000588787
     -0.00182223     -0.00184942
     -0.00414177     -0.00420108
    -0.000798226    -0.000785156
     -0.00371903     -0.00370668
      -0.0027066     -0.00278455
     -0.00155731     -0.00157213
     -0.00124989     -0.00114103
    -0.000701466    -0.000683694
     -0.00156632     -0.00145611
     -0.00236572     -0.00239784
    -0.000958608    -0.000930736
     -0.00130395     -0.00122786
     -0.00118646     -0.00118945
     -0.00462265      -0.0046362
     -0.00155123     -0.00155322
     -0.00648141     -0.00655067
    -0.000934697    -0.000906924
    -0.000998163    -0.000922095
     -0.00137029     -0.00134198
     -0.00215028     -0.00207901
     -0.00049106     -0.00043167
     -0.00170551      -0.0015627
     -0.00126259     -0.00116733
    -0.000691297    -0.000659084
    -0.000656792    -0.000626371
     -0.00179207     -0.00183903
     -0.00716248     -0.00713847
     -0.00367914     -0.00378742
      -0.0013624     -0.00123678
      -0.0010538    -0.000977707
     -0.00840958     -0.00846374
     -0.00671566     -0.00686077
     -0.00374099     -0.00384909
     -0.00265429     -0.00269627
     -0.00280513     -0.00284943
      -0.0055869     -0.00568522
     -0.00105068     -0.00102357
     -0.00371478     -0.00366749
      -0.0018898     -0.00187001
     -0.00256993      -0.0025121
     -0.00731173     -0.00730616
     -0.00390549     -0.00399035
     -0.00146434     -0.00135342
     -0.00211221     -0.00219522
     -0.00302468     -0.00310608
     -0.00719405     -0.00727661
     -0.00120101     -0.00117193
     -0.00202408     -0.00200077
     -0.00189913     -0.00186647
    -0.000860895    -0.000817281
     -0.00506585     -0.00500998
     -0.00099621    -0.000998013
     -0.00138347      -0.0013894
     -0.00269913     -0.00273758
     -0.00108831     -0.00109412
       -0.001169     -0.00117376
     -0.00106082     -0.00102274
    -0.000615037    -0.000572997
     -0.00133579      -0.0012306
     -0.00296494     -0.00301142
     -0.00191965     -0.00184187
     -0.00134987     -0.00128137
     -0.00193901     -0.00194938
     -0.00563421     -0.00568398
      -0.0013592     -0.00133452
    -0.000828726    -0.000747966
     -0.00126962     -0.00125882
    -0.000792388    -0.000767153
     -0.00263739     -0.00266324
     -0.00387988     -0.00394445
     -0.00599924     -0.00603818
     -0.00760943     -0.00762295
     -0.00297531     -0.00293607
    -0.000706644    -0.000645025
    -0.000680947    -0.000665356
      -0.0108516      -0.0108425
     -0.00328971     -0.00326057
     -0.00615487      -0.0062552
     -0.00225194     -0.00232044
     -0.00217142     -0.00214813
     -0.00310233     -0.00316231
    -0.000736152    -0.000717506
    -0.000874247    -0.000860016
     -0.00448649     -0.00443735
     -0.00503648     -0.00507494
    -0.000826955    -0.000765423
     -0.00263097     -0.00266731
     -0.00433517     -0.00427954
     -0.00096567    -0.000876455
    -0.000572146    -0.000535797
     -0.00680701     -0.00669274
     -0.00193947      -0.0020156
    -0.000855759    -0.000786867
     -0.00284321     -0.00281384
     -0.00353713     -0.00360193
     -0.00536391     -0.00533522
    -0.000730658    -0.000698302
     -0.00444537     -0.00458735
    -0.000768049    -0.000763818
    -0.000935974    -0.000844686
     -0.00203393     -0.00212624
      -0.0012815     -0.00121123
     -0.00249842     -0.00254805
     -0.00347921     -0.00341985
     -0.00108981     -0.00108574
    -0.000516728       -0.000488
    -0.000642991    -0.000620091
    -0.000654765    -0.000582443
    -0.000642905    -0.000617594
     -0.00108047     -0.00106219
     -0.00218874     -0.00228089
     -0.00502716      -0.0050518
     -0.00236969     -0.00240531
    -0.000708075     -0.00062654
     -0.00433123     -0.00435297
     -0.00256968     -0.00257694
     -0.00780152     -0.00785543
     -0.00437623     -0.00456279
     -0.00285019     -0.00294039
    -0.000904965    -0.000887017
     -0.00249227     -0.00249971
    -0.000666965       -0.000603
    -0.000850529    -0.000766864
     -0.00079204    -0.000781316
     -0.00774701     -0.00775794
     -0.00457674     -0.00456777
     -0.00409878     -0.00409314
     -0.00115846       -0.001135
     -0.00352917     -0.00363349
    -0.000962994    -0.000930911
     -0.00888873     -0.00874461
      -0.0105939      -0.0102787
     -0.00177164     -0.00181109
    -0.000928389    -0.000853586
     -0.00629525     -0.00638108
     -0.00246111     -0.00238065
     -0.00255418     -0.00256183
     -0.00287184      -0.0029527
      -0.0032426     -0.00321683
     -0.00298821     -0.00302172
     -0.00608201     -0.00608746
    -0.000527527    -0.000497074
     -0.00373516     -0.00370892
     -0.00106684      -0.0010482
    -0.000426139    -0.000395672
     -0.00102191     -0.00100885
     -0.00781004     -0.00789357
     -0.00803682     -0.00800976
    -0.000872227    -0.000800974
     -0.00194322     -0.00193008
     -0.00167098     -0.00166381
     -0.00352422     -0.00353099
     -0.00521043     -0.00514904
     -0.00131019     -0.00126394
     -0.00106554     -0.00104542
     -0.00120766     -0.00113996
     -0.00457034     -0.00459754
     -0.00649006     -0.00651181
     -0.00200114     -0.00191835
    -0.000883829    -0.000826809
     -0.00315754      -0.0031461
     -0.00529097      -0.0052831
     -0.00209113     -0.00208902
    -0.000522243    -0.000494085
    -0.000682314    -0.000675092
     -0.00124602     -0.00124754
     -0.00103911    -0.000949937
     -0.00402292     -0.00406221
     -0.00302419      -0.0031402
     -0.00389858     -0.00392444
     -0.00177106     -0.00175607
     -0.00134217     -0.00134376
     -0.00196089     -0.00200164
    -0.000455273     -0.00044321
     -0.00145743      -0.0013989
    -0.000849535    -0.000785351
    -0.000991776    -0.000920428
     -0.00383312      -0.0037345
     -0.00469268     -0.00472863
     -0.00118154     -0.00115836
     -0.00086803    -0.000840882
     -0.00114329      -0.0011397
     -0.00156024     -0.00148069
     -0.00288062     -0.00291291
    -0.000857437    -0.000776371
     -0.00146208     -0.00147941
     -0.00191988     -0.00183624
     -0.00531652      -0.0053483
    -0.000641516    -0.000584714
     -0.00290064     -0.00291727
     -0.00201294     -0.00199963
     -0.00106574     -0.00104728
     -0.00188411     -0.00189292
    -0.000622886    -0.000609314
     -0.00259679     -0.00264629
     -0.00312923      -0.0031294
     -0.00456224     -0.00457716
     -0.00435023       -0.004421
     -0.00154685     -0.00156092
     -0.00393857     -0.00383885
     -0.00184934     -0.00185374
    -0.000659064    -0.000650297
     -0.00868617     -0.00861339
     -0.00296408     -0.00300921
     -0.00416508     -0.00418921
     -0.00735267     -0.00725171
      -0.0011738     -0.00117163
     -0.00271475     -0.00268519
     -0.00221465      -0.0022055
     -0.00233567     -0.00236238
     -0.00157177     -0.00158306
