QM Energy	FF Energy
    -0.000374962    -0.000442035
     -0.00135475     -0.00125496
     -1.3859e-05    -1.52207e-05
     -2.7867e-05    -2.73266e-05
    -0.000856067    -0.000672901
     -2.3894e-05      -4.247e-05
     -9.0388e-05    -8.02155e-05
      -9.104e-06    -1.11557e-05
    -0.000377681    -0.000414391
     -0.00103476     -0.00070101
     -2.8407e-05    -3.02864e-05
     -5.1716e-05    -0.000106267
     -2.7801e-05    -2.04503e-05
    -0.000667715    -0.000564409
      -6.533e-05    -4.27413e-05
     -6.1924e-05    -5.30312e-05
     -0.00171162     -0.00219331
       -1.89e-05    -1.64636e-05
    -0.000192079    -0.000188953
     -2.2082e-05    -2.62868e-05
     -0.00166722       -0.001974
     -6.8749e-05    -0.000106562
    -0.000292888    -0.000253061
     -0.00104095     -0.00109492
    -0.000413577    -0.000275229
    -0.000113586    -6.02918e-05
    -0.000818678    -0.000789571
     -8.0817e-05     -5.0118e-05
     -2.6934e-05    -2.24849e-05
      -8.375e-06    -3.60978e-06
     -1.5226e-05     -2.1409e-05
     -3.3567e-05    -2.77474e-05
    -0.000152955    -5.43527e-05
      -8.044e-05    -7.51232e-05
     -2.3284e-05    -2.11423e-05
    -0.000501706    -0.000317009
     -9.7084e-05    -0.000128439
     -0.00141574     -0.00148488
     -0.00173315     -0.00148915
     -8.9262e-05    -0.000119756
    -0.000178707    -0.000231218
     -1.8031e-05    -2.12597e-05
     -6.9227e-05    -8.09898e-05
    -0.000811813    -0.000785057
    -0.000339753    -0.000282512
     -4.2006e-05    -6.81978e-05
     -0.00110642     -0.00117247
     -2.3646e-05    -3.16057e-05
     -0.00170511     -0.00144085
      -6.432e-06    -1.65049e-05
     -8.5567e-05    -0.000103099
     -1.2406e-05    -1.49938e-05
     -4.3757e-05    -3.67642e-05
    -0.000943512    -0.000962898
     -1.0693e-05    -2.09369e-05
     -2.4525e-05    -2.00047e-05
    -0.000131633    -9.88436e-05
     -8.1146e-05     -5.0723e-05
      -0.0013171     -0.00109172
    -0.000348547    -0.000274205
     -2.9821e-05    -5.45647e-05
     -0.00161157     -0.00166922
    -0.000184071    -0.000229354
     -5.4539e-05    -5.70243e-05
     -6.7885e-05    -6.26314e-05
    -0.000216081     -0.00019151
    -0.000440609    -0.000318309
    -0.000457569    -0.000513855
     -0.00158193     -0.00144863
     -7.1071e-05    -0.000115775
     -0.00098928    -0.000664115
     -6.0615e-05    -4.80269e-05
    -0.000933895    -0.000984124
     -6.5489e-05    -6.35756e-05
