QM Energy	FF Energy
     -0.00334019     -0.00353595
      -0.0068847     -0.00732398
     -0.00059267    -0.000597719
    -0.000955351    -0.000866154
     -0.00535391     -0.00558881
    -0.000891969    -0.000989828
     -0.00133679     -0.00131258
    -0.000480629    -0.000464141
     -0.00331065     -0.00333805
     -0.00418929     -0.00414503
    -0.000857651     -0.00084111
      -0.0014297     -0.00167002
    -0.000776368    -0.000706993
     -0.00402869     -0.00391636
    -0.000940631    -0.000861074
      -0.0010454     -0.00100052
     -0.00932531      -0.0100168
    -0.000765565    -0.000706627
     -0.00206112     -0.00199442
    -0.000892125    -0.000880781
     -0.00849496     -0.00875364
     -0.00132981     -0.00143959
      -0.0025134     -0.00245779
     -0.00585525     -0.00607062
     -0.00240223     -0.00225563
     -0.00180637      -0.0016849
     -0.00442547     -0.00460859
     -0.00101067    -0.000907542
     -0.00114874    -0.000926336
      -0.0007248     -0.00057437
    -0.000609247    -0.000596087
    -0.000741271    -0.000667981
     -0.00203936     -0.00171714
      -0.0011809     -0.00109837
    -0.000933715    -0.000899403
     -0.00380605     -0.00384201
     -0.00192338     -0.00213067
     -0.00776287     -0.00797823
     -0.00942516     -0.00892592
     -0.00177526     -0.00195722
     -0.00241499     -0.00252045
    -0.000809988    -0.000829386
     -0.00134846     -0.00129592
     -0.00541629     -0.00537954
     -0.00290073     -0.00278781
     -0.00128586      -0.0013878
     -0.00638824      -0.0066265
    -0.000898305    -0.000912378
     -0.00703084     -0.00682321
    -0.000530003    -0.000589073
     -0.00164595     -0.00171626
    -0.000511026    -0.000487805
     -0.00101482    -0.000944695
     -0.00544548     -0.00541432
    -0.000597208    -0.000641046
    -0.000798726    -0.000743062
     -0.00166894     -0.00157602
     -0.00111848     -0.00100207
     -0.00591167     -0.00580708
     -0.00281921     -0.00262272
      -0.0010983     -0.00121622
     -0.00804043      -0.0082448
     -0.00209104     -0.00224371
     -0.00124165     -0.00126637
     -0.00119778     -0.00114624
     -0.00253861      -0.0024184
     -0.00316506     -0.00297011
     -0.00343468     -0.00380613
      -0.0063352     -0.00641389
       -0.001471     -0.00165574
     -0.00565092     -0.00559382
     -0.00128169     -0.00123073
     -0.00509105     -0.00526247
     -0.00126168       -0.001128
    -0.000563821    -0.000600331
    -0.000827478    -0.000770168
     -0.00158223     -0.00162389
     -0.00118033     -0.00135195
     -0.00441132     -0.00410809
    -0.000590029    -0.000568846
     -0.00442272     -0.00444153
     -0.00155717     -0.00154989
     -0.00200638     -0.00226964
     -0.00222772     -0.00210666
     -0.00264173     -0.00263839
     -0.00068013    -0.000662955
     -0.00247558     -0.00235563
     -0.00082166    -0.000832035
     -0.00686544     -0.00703194
    -0.000802474    -0.000774689
    -0.000827595    -0.000761227
     -0.00680703     -0.00609898
     -0.00115443     -0.00102836
    -0.000632014    -0.000650775
     -0.00935941     -0.00841882
     -0.00107103     -0.00108909
    -0.000832381    -0.000836021
     -0.00292947     -0.00338598
     -0.00074192    -0.000675201
     -0.00292076     -0.00276901
      -0.0109717      -0.0102143
     -0.00187923     -0.00199213
     -0.00557893     -0.00608805
    -0.000754393    -0.000745149
     -0.00347477     -0.00387825
    -0.000649624    -0.000729791
     -0.00108623     -0.00115995
      -0.0022143     -0.00181601
    -0.000863528    -0.000732259
     -0.00243313     -0.00251374
     -0.00304515     -0.00302659
     -0.00252302     -0.00277722
     -0.00597905     -0.00597356
     -0.00648605     -0.00585421
     -0.00405554     -0.00420138
     -0.00230766     -0.00211724
    -0.000736482    -0.000728113
     -0.00490934     -0.00469578
     -0.00232596     -0.00209649
      -0.0093332     -0.00921767
     -0.00330755     -0.00335299
     -0.00120875     -0.00121723
     -0.00157633      -0.0016252
     -0.00158985     -0.00166611
     -0.00139325     -0.00115248
     -0.00148895     -0.00155031
     -0.00060112    -0.000581622
    -0.000930272    -0.000821518
     -0.00142263     -0.00145468
     -0.00983427     -0.00907415
     -0.00235096     -0.00221435
     -0.00107057     -0.00110794
     -0.00894977     -0.00998115
    -0.000720618    -0.000639303
      -0.0045015     -0.00513874
     -0.00083387    -0.000757888
    -0.000584086    -0.000591831
     -0.00563676     -0.00532936
     -0.00101473    -0.000972052
     -0.00346678     -0.00331755
      -0.0108709      -0.0109478
     -0.00151544     -0.00148739
     -0.00174269     -0.00178023
     -0.00166941      -0.0017466
     -0.00478547     -0.00492983
     -0.00386912     -0.00412657
    -0.000688543     -0.00062453
     -0.00113506     -0.00120184
     -0.00103991     -0.00091412
     -0.00103868    -0.000970585
     -0.00110373     -0.00101995
     -0.00291698     -0.00302868
    -0.000683296    -0.000541879
     -0.00212287     -0.00195238
     -0.00153609      -0.0012177
     -0.00279377     -0.00274115
     -0.00321577     -0.00315464
    -0.000670443    -0.000667614
    -0.000593807    -0.000575893
     -0.00549867     -0.00607832
     -0.00204517     -0.00228179
      -0.0100087     -0.00993189
      -0.0014913     -0.00162455
     -0.00506158     -0.00521089
