T    B    dB
673.102    -76.33    0.9
723.358    -62.29    0.76
773.321    -50.7    0.46
823.152    -41.73    0.27
823.152    -41.91    0.35
823.352    -41.78    0.39
873.155    -34.56    0.15
873.185    -34.5    0.17
893.178    -32.36    0.15
893.228    -32.39    0.21
923.17    -29.3    0.18
923.623    -29.29    0.49
973.35    -24.75    0.28
971.844    -24.81    0.27
973.35    -24.78    1.2
1023.5    -20.74    0.32
1021.697    -20.78    0.36
1023.5    -20.76    0.37
1073.49    -17.4    0.36
1073.49    -17.38    0.43
1123.629    -14.3    0.41
1123.828    -14.2    0.44
1173.14    -11.96    0.61
303.134    -1203    181
313.13    -969    92
323.127    -834    68
333.124    -722    42
343.124    -630    30
353.123    -557    25
363.123    -496    21
373.124    -453    24
373.124    -447    25
423.134    -287    20
473.153    -201    16
523.171    -148    10
543.178    -133    7
563.182    -120    4
573.184    -114    2
583.185    -108    0.2
593.186    -103    2
603.186    -99    5
613.187    -94    8
