T(K)    B
300    -1163.00
325    -795.94
350    -580.11
375    -443.32
400    -351.11
425    -285.75
450    -237.52
475    -200.75
500    -171.97
525    -148.94
550    -130.18
575    -114.67
600    -101.66
625    -90.64
650    -81.20
675    -73.04
700    -65.94
725    -59.72
750    -54.23
775    -49.35
800    -45.00
850    -37.58
900    -31.51
950    -26.47
1000   -22.22
1100   -15.49
1200   -10.43
1300   -6.50
1400   -3.37
1500   -0.84
1600   1.26
1800   4.49
2000   6.85
2500   10.57
3000   12.64
